,neuron_id,neuron_type,RF_area,RF_center
383,383,e5Rbp4,500.0,[8.7 4.1]
384,384,e5Rbp4,400.0,[9. 5.]
385,385,e5Rbp4,400.0,[8. 7.]
386,386,e5Rbp4,400.0,[9. 5.]
387,387,e5Rbp4,500.0,[4.7 7.1]
388,388,e5Rbp4,300.0,[6.16666667 4.16666667]
389,389,e5Rbp4,200.0,[5.  3.5]
390,390,e5Rbp4,400.0,[8.75 4.5 ]
391,391,e5Rbp4,600.0,[6.66666667 6.33333333]
392,392,e5Rbp4,400.0,[9.  5.5]
393,393,e5Rbp4,200.0,[6.5 7. ]
394,394,e5Rbp4,200.0,[9.  6.5]
395,395,e5Rbp4,300.0,[0.5 9.5]
396,396,e5Rbp4,200.0,[3.5 5. ]
397,397,e5Rbp4,400.0,[8.25 6.5 ]
398,398,e5Rbp4,300.0,[5.5 6.5]
399,399,e5Rbp4,200.0,[9.5 5. ]
400,400,e5Rbp4,200.0,[3.5 4. ]
401,401,e5Rbp4,200.0,[6.5 7. ]
402,402,e5Rbp4,300.0,[0.83333333 0.83333333]
403,403,e5Rbp4,600.0,[6.5        6.83333333]
404,404,e5Rbp4,900.0,[8.94444444 6.72222222]
405,405,e5Rbp4,200.0,[4.  6.5]
406,406,e5Rbp4,500.0,[8.3 5.9]
407,407,e5Rbp4,300.0,[5.83333333 6.83333333]
408,408,e5Rbp4,200.0,[6.5 7. ]
409,409,e5Rbp4,400.0,[4. 5.]
410,410,e5Rbp4,100.0,[8.5 4.5]
411,411,e5Rbp4,500.0,[11.7  4.5]
412,412,e5Rbp4,300.0,[4.16666667 4.83333333]
413,413,e5Rbp4,300.0,[7.83333333 7.16666667]
414,414,e5Rbp4,100.0,[6.5 7.5]
415,415,e5Rbp4,300.0,[6.16666667 6.83333333]
416,416,e5Rbp4,400.0,[10.  4.]
417,417,e5Rbp4,500.0,[6.3 4.1]
418,418,e5Rbp4,200.0,[3.5 6. ]
419,419,e5Rbp4,300.0,[3.83333333 4.83333333]
420,420,e5Rbp4,400.0,[7. 4.]
421,421,e5Rbp4,300.0,[8.83333333 5.83333333]
422,422,e5Rbp4,400.0,[10.  6.]
423,423,e5Rbp4,200.0,[9.5 5. ]
424,424,e5Rbp4,1800.0,[4.77777778 6.22222222]
425,425,e5Rbp4,400.0,[9. 6.]
426,426,e5Rbp4,300.0,[4.83333333 7.16666667]
427,427,e5Rbp4,700.0,[5.64285714 6.78571429]
428,428,e5Rbp4,2100.0,[6.97619048 4.97619048]
429,429,e5Rbp4,400.0,[9. 5.]
430,430,e5Rbp4,400.0,[6. 7.]
431,431,e5Rbp4,500.0,[9.5 4.5]
432,432,e5Rbp4,400.0,[6. 4.]
433,433,e5Rbp4,1800.0,[3.77777778 6.27777778]
434,434,e5Rbp4,500.0,[8.9 6.3]
435,435,e5Rbp4,200.0,[4.  6.5]
436,436,e5Rbp4,600.0,[5.  6.5]
437,437,e5Rbp4,300.0,[8.16666667 6.83333333]
438,438,e5Rbp4,300.0,[9.16666667 5.16666667]
439,439,e5Rbp4,1300.0,[6.65384615 4.80769231]
440,440,e5Rbp4,300.0,[9.16666667 4.83333333]
441,441,e5Rbp4,400.0,[6. 4.]
442,442,e5Rbp4,700.0,[5.5        4.78571429]
443,443,e5Rbp4,300.0,[9.83333333 4.83333333]
444,444,e5Rbp4,200.0,[3.5 6. ]
445,445,e5Rbp4,300.0,[8.83333333 5.83333333]
446,446,e5Rbp4,600.0,[6.66666667 6.66666667]
447,447,e5Rbp4,300.0,[7.83333333 4.16666667]
448,448,e5Rbp4,1800.0,[5.         6.33333333]
449,449,e5Rbp4,100.0,[9.5 5.5]
450,450,e5Rbp4,400.0,[6. 6.]
451,451,e5Rbp4,1100.0,[8.86363636 4.40909091]
452,452,e5Rbp4,500.0,[3.1 4.7]
453,453,e5Rbp4,600.0,[8.5        5.66666667]
454,454,e5Rbp4,400.0,[9. 5.]
455,455,e5Rbp4,400.0,[6. 4.]
456,456,e5Rbp4,300.0,[4.16666667 6.16666667]
457,457,e5Rbp4,500.0,[ 7.7 10.1]
458,458,e5Rbp4,500.0,[8.1 9.1]
459,459,e5Rbp4,500.0,[7.1 7.3]
460,460,e5Rbp4,400.0,[7. 7.]
461,461,e5Rbp4,300.0,[7.16666667 5.16666667]
462,462,e5Rbp4,400.0,[6. 7.]
463,463,e5Rbp4,400.0,[4.  3.5]
464,464,e5Rbp4,500.0,[8.1 6.7]
465,465,e5Rbp4,400.0,[10.  6.]
466,466,e5Rbp4,200.0,[4.5 7. ]
467,467,e5Rbp4,600.0,[7.  4.5]
468,468,e5Rbp4,400.0,[7.25 6.5 ]
469,469,e5Rbp4,300.0,[3.83333333 6.16666667]
470,470,e5Rbp4,200.0,[3.5 6. ]
471,471,e5Rbp4,200.0,[9.  4.5]
472,472,e5Rbp4,400.0,[6. 4.]
473,473,e5Rbp4,500.0,[3.9 4.7]
474,474,e5Rbp4,200.0,[5.5 7. ]
475,475,e5Rbp4,500.0,[4.3 5.1]
476,476,e5Rbp4,200.0,[3.5 5. ]
477,477,e5Rbp4,400.0,[5. 6.]
478,478,e5Rbp4,300.0,[8.83333333 5.83333333]
479,479,e5Rbp4,300.0,[4.5 3.5]
480,480,e5Rbp4,400.0,[4. 5.]
481,481,e5Rbp4,600.0,[7.5 6. ]
482,482,e5Rbp4,200.0,[6.  3.5]
483,483,e5Rbp4,100.0,[12.5 10.5]
484,484,e5Rbp4,200.0,[5.  6.5]
485,485,e5Rbp4,100.0,[4.5 4.5]
486,486,e5Rbp4,900.0,[7.61111111 6.72222222]
487,487,e5Rbp4,200.0,[4.  5.5]
488,488,e5Rbp4,400.0,[4. 7.]
489,489,e5Rbp4,500.0,[3.7 4.3]
490,490,e5Rbp4,300.0,[8.83333333 5.83333333]
491,491,e5Rbp4,400.0,[9. 7.]
492,492,e5Rbp4,200.0,[9.  5.5]
493,493,e5Rbp4,600.0,[4.  6.5]
494,494,e5Rbp4,300.0,[4.83333333 6.16666667]
495,495,e5Rbp4,500.0,[4.9 3.7]
496,496,e5Rbp4,300.0,[7.5 6.5]
497,497,e5Rbp4,400.0,[8. 4.]
498,498,e5Rbp4,400.0,[4. 5.]
499,499,e5Rbp4,800.0,[3.    4.625]
500,500,e5Rbp4,400.0,[4. 4.]
501,501,e5Rbp4,500.0,[5.3 6.9]
502,502,e5Rbp4,300.0,[2.83333333 4.83333333]
503,503,e5Rbp4,300.0,[3.16666667 4.16666667]
504,504,e5Rbp4,600.0,[6.66666667 5.33333333]
