,neuron_id,neuron_type,RF_area,RF_center
468,468,e5Rbp4,800.0,[6.125 3.75 ]
469,469,e5Rbp4,300.0,[4.16666667 5.83333333]
470,470,e5Rbp4,300.0,[4.83333333 4.83333333]
471,471,e5Rbp4,600.0,[7.  4.5]
472,472,e5Rbp4,200.0,[5.  5.5]
473,473,e5Rbp4,600.0,[11.33333333  0.83333333]
474,474,e5Rbp4,400.0,[8.5  5.75]
475,475,e5Rbp4,500.0,[4.5 5.5]
476,476,e5Rbp4,400.0,[5. 7.]
477,477,e5Rbp4,500.0,[7.3 6.9]
478,478,e5Rbp4,400.0,[5.25 4.25]
479,479,e5Rbp4,600.0,[5.5 6. ]
480,480,e5Rbp4,300.0,[6.16666667 6.83333333]
481,481,e5Rbp4,400.0,[5. 5.]
482,482,e5Rbp4,500.0,[7.9 5.3]
483,483,e5Rbp4,600.0,[6.5 6. ]
484,484,e5Rbp4,1700.0,[5.14705882 5.85294118]
485,485,e5Rbp4,400.0,[8. 5.]
486,486,e5Rbp4,600.0,[7.66666667 6.5       ]
487,487,e5Rbp4,500.0,[9.1 8.7]
488,488,e5Rbp4,500.0,[8.1 5.7]
489,489,e5Rbp4,600.0,[7.16666667 5.66666667]
490,490,e5Rbp4,700.0,[5.5 4.5]
491,491,e5Rbp4,800.0,[8. 6.]
492,492,e5Rbp4,800.0,[7.375 6.375]
493,493,e5Rbp4,100.0,[4.5 6.5]
494,494,e5Rbp4,400.0,[8. 5.]
495,495,e5Rbp4,600.0,[7.5 5. ]
496,496,e5Rbp4,200.0,[8.  5.5]
497,497,e5Rbp4,1000.0,[2.2 9.4]
498,498,e5Rbp4,600.0,[9.  5.5]
499,499,e5Rbp4,600.0,[7.5        6.66666667]
500,500,e5Rbp4,600.0,[6.  6.5]
501,501,e5Rbp4,400.0,[6.75 6.5 ]
502,502,e5Rbp4,400.0,[6. 6.]
503,503,e5Rbp4,300.0,[7.83333333 5.83333333]
